GPS LATITUDE (degrees),GPS LONGITUDE (degrees),GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (°),GPS SATELLITES IN RANGE,TIME SINCE START (ms),DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE Yaw (rad/s),GYROSCOPE Pitch (rad/s),GYROSCOPE Roll (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION (Yaw) (°),ORIENTATION (Pitch) (°),ORIENTATION (Roll) (°)
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,1,2026-09-19 18-25-28_149,0.2633622,0.06703765,10.4171715,0.047194608,0.16177186,9.8052025,0.039947417,-0.028229509,-0.012250541,40.722656,-38.183594,-241.21094,-129.23575659998292,-0.9452020272444491,-0.2757751297732563
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,502,2026-09-19 18-25-28_650,0.05746084,0.17956513,9.931149,0.054985315,0.16994776,9.805023,-0.0031957934,0.0037284256,5.326322E-4,40.625,-39.55078,-239.64844,-130.14407826189398,-0.9929768478679742,-0.32130401344295195
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,1002,2026-09-19 18-25-29_150,0.06943185,0.17477672,9.890448,0.056283597,0.16932341,9.805027,0.0,0.0,-5.326322E-4,41.015625,-41.40625,-239.35547,-131.3243349504722,-0.9893285402683073,-0.32889019071759895
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,1503,2026-09-19 18-25-29_651,0.088585466,0.18435353,9.888053,0.059884373,0.17479987,9.80491,0.0,0.0015978967,-5.326322E-4,42.48047,-43.652344,-237.20703,-131.90525437837633,-1.0213299496955772,-0.3499348004058114
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,2005,2026-09-19 18-25-30_153,0.06464344,0.18914193,9.895236,0.06102646,0.17466718,9.804904,-5.326322E-4,0.002130529,5.326322E-4,42.96875,-43.359375,-238.1836,-131.34684239695315,-1.0205547232247807,-0.3566086161893262
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,2505,2026-09-19 18-25-30_653,0.076614454,0.17956513,9.888053,0.059678867,0.1744277,9.804917,0.0031957934,-0.0010652645,-0.0010652645,42.1875,-41.308594,-239.64844,-130.32306928859146,-1.019155293354836,-0.3487337116402646
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,3006,2026-09-19 18-25-31_154,-0.39743748,0.22744916,10.383653,0.09222229,0.1797895,9.804568,0.05273059,0.23808661,-0.009054748,41.11328,-37.5,-239.7461,-127.35785649691658,-1.0504867371155184,-0.5389112221603763
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,3506,2026-09-19 18-25-31_654,0.11252748,0.20590134,9.763555,0.0977717,0.18018392,9.804507,-0.0010652645,-0.00479369,0.0037284256,40.429688,-38.378906,-241.5039,-128.39298532601035,-1.0527916223964346,-0.5713413397945508
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,4007,2026-09-19 18-25-32_155,-0.32800564,0.36870706,9.469068,0.10298079,0.17986761,9.80446,-0.021837922,-0.009054748,-0.006924219,40.429688,-38.183594,-241.3086,-128.1601104816047,-1.0509432973160384,-0.6017820889419683
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,4507,2026-09-19 18-25-32_655,0.062249243,0.18914193,9.902418,0.09490164,0.17880711,9.804561,5.326322E-4,-5.326322E-4,-0.0010652645,40.820312,-39.160156,-241.01562,-128.85813274391882,-1.044746190791095,-0.5545677991763288
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,5007,2026-09-19 18-25-33_155,0.079008654,0.18435353,9.909601,0.10225044,0.18339144,9.804402,0.0,-5.326322E-4,-5.326322E-4,41.210938,-41.89453,-238.28125,-130.59207067311908,-1.071534875734802,-0.5975179638976339
28.5692241,77.2855235,169.90000915527344,0.0022485557,7.145,0.0,2,5508,2026-09-19 18-25-33_656,0.07182605,0.18914193,9.892841,0.09636902,0.18051606,9.804515,0.0,0.0010652645,0.0,41.308594,-41.40625,-238.67188,-130.295151118032,-1.05473253448558,-0.5631446574445909
